order_id,customer_id,order_date,city,courier_partner,promised_date,delivery_date,order_status
O1,C5,10/5/2025 0:00,Indore,QuickShip,10/9/2025 0:00,10/11/2025 0:00,Delivered
O2,C92,10/3/2025 0:00,Indore,QuickShip,10/6/2025 0:00,10/9/2025 0:00,Cancelled
O3,C170,12/4/2025 0:00,Nagpur,ShipNow,12/8/2025 0:00,12/11/2025 0:00,Delivered
O4,C317,10/4/2025 0:00,Nagpur,ShipNow,10/8/2025 0:00,10/8/2025 0:00,Delivered
O5,C22,12/3/2025 0:00,Pune,FastEx,12/5/2025 0:00,12/5/2025 0:00,Delivered
O6,C326,12/28/2025 0:00,Indore,ShipNow,12/30/2025 0:00,12/31/2025 0:00,Delivered
O7,C1,10/10/2025 0:00,Nagpur,FastEx,10/14/2025 0:00,10/16/2025 0:00,Delivered
O8,C133,10/21/2025 0:00,Indore,ShipNow,10/24/2025 0:00,10/26/2025 0:00,Delivered
O9,C233,11/15/2025 0:00,Indore,ShipNow,11/18/2025 0:00,11/19/2025 0:00,Cancelled
O10,C12,10/27/2025 0:00,Nagpur,FastEx,10/29/2025 0:00,10/30/2025 0:00,Delivered
O11,C346,12/5/2025 0:00,Pune,QuickShip,12/7/2025 0:00,12/10/2025 0:00,Delivered
O12,C46,11/10/2025 0:00,Nagpur,FastEx,11/12/2025 0:00,11/15/2025 0:00,Delivered
O13,C34,10/13/2025 0:00,Nagpur,QuickShip,10/15/2025 0:00,10/19/2025 0:00,RTO
O14,C78,10/9/2025 0:00,Indore,QuickShip,10/11/2025 0:00,10/14/2025 0:00,Delivered
O15,C218,11/5/2025 0:00,Nagpur,QuickShip,11/7/2025 0:00,11/9/2025 0:00,Delivered
O16,C301,12/25/2025 0:00,Pune,ShipNow,12/27/2025 0:00,12/27/2025 0:00,Delivered
O17,C73,12/29/2025 0:00,Nagpur,QuickShip,1/1/2026 0:00,1/2/2026 0:00,Delivered
O18,C282,11/27/2025 0:00,Pune,QuickShip,11/29/2025 0:00,12/2/2025 0:00,Delivered
O19,C249,11/23/2025 0:00,Pune,ShipNow,11/25/2025 0:00,11/27/2025 0:00,Delivered
O20,C47,10/12/2025 0:00,Indore,ShipNow,10/15/2025 0:00,10/16/2025 0:00,Delivered
O21,C121,12/20/2025 0:00,Mumbai,FastEx,12/23/2025 0:00,12/24/2025 0:00,Delivered
O22,C214,12/17/2025 0:00,Mumbai,ShipNow,12/21/2025 0:00,12/21/2025 0:00,Delivered
O23,C239,10/14/2025 0:00,Indore,FastEx,10/16/2025 0:00,10/17/2025 0:00,Delivered
